Energy_Use_kWh,Height,Year_Built,Longitude,Latitude,Name,Area_m,Occupants,apartments,parking,stadium,university,utility,warehouse,Building_Length_m,Orientation (degrees north) ,Relative Compactness,Tree_Canopy,Land_Surface_Temp
1370845.251,21.38,1966,-122.3129151,47.64989416,Marine Sciences,5534.23171,297.741666,0,0,0,1,0,0,146,47,0.03,0,25.04828201
1609484.204,21.16,1969,-122.3122999,47.65025755,Ocean Teach Building,4789.335456,257.6662475,0,0,0,1,0,0,163,143,0.03,21,26.47388119
2460280.262,24.35,1999,-122.3162752,47.65315781,Fishery Sciences,12105.91122,651.2980236,0,0,0,1,0,0,329,89,0.03,0,27.98793457
225748.3772,11.72,1976,-122.3148697,47.65303934,John M Wallace Hall,2830.568604,152.2845909,0,0,0,1,0,0,164,179,0.06,0,26.45790453
3879319.671,28.76,1999,-122.3126768,47.65125561,Ocean Sciences Building,10337.87423,556.1776336,0,0,0,1,0,0,252,54,0.02,0,26.45293287
3362113.601,25.63,1982,-122.3115352,47.65190576,Hitchcock Hall,10815.39565,581.868286,0,0,0,1,0,0,166,143,0.02,0,25.87373384
1868835.904,27.78,1973,-122.3108991,47.65396585,Guthrie Hall,6897.211623,371.0699853,0,0,0,1,0,0,170,90,0.02,0,25.33617251
3733178.201,7.96,1950,-122.3100331,47.6508204,Magnuson Health Sciences Center G,160751,4902.9055,0,0,0,1,0,0,1921,53,0.01,0,27.15549134
4914872.032,7.96,1964,-122.3105217,47.65163825,Magnuson Health Sciences Center I,160751,4902.9055,0,0,0,1,0,0,176,53,0,0,26.20497105
2305332.656,17.42,1966,-122.3097356,47.65210469,Benson Hall,7085.804713,381.2162936,0,0,0,1,0,0,326,52,0.05,3,25.11648705
884068.3708,30.93,1971,-122.3106125,47.65266356,Kincaid Hall,7846.494477,422.1414029,0,0,0,1,0,0,175,143,0.02,2,25.61551797
4038518.155,36.35,1995,-122.3083692,47.6529292,Chemistry Building,12098.47898,650.8981691,0,0,0,1,0,0,263,116,0.02,0,24.5851403
4044358.399,17.94,1971,-122.3076544,47.65127835,Bloedel Hall,7182.888348,386.4393931,0,0,0,1,0,0,237,25,0.03,0,26.11858836
670718.7869,23.95,1921,-122.3050506,47.65204231,Roberts Hall,3016.653313,162.2959482,0,0,0,1,0,0,132,136,0.04,3,25.47695869
2102188.004,23.95,1963,-122.3045455,47.65185123,Wilcox Hall,3833.642295,206.2499555,0,0,0,1,0,0,187,46,0.05,0,26.27250284
3623654.624,19.88,1946,-122.3044893,47.65290225,More Hall,7541.215219,405.7173788,0,0,0,1,0,0,256,67,0.03,4,27.41526086
868180.8508,16.43,1957,-122.3099526,47.65369745,Chemistry Library Building,3656.940789,196.7434144,0,0,0,1,0,0,219,25,0.06,31,26.02847693
5122608.796,36.35,1937,-122.3088504,47.6534735,Bagley Hall,20782.4011,1118.093179,0,0,0,1,0,0,330,25,0.02,0,25.49713018
4232546.221,37.48,1970,-122.3093741,47.65398601,Atmospheric Sciences-Geophysics Building,7219.399227,388.4036784,0,0,0,1,0,0,143,115,0.02,17,26.18881314
2190000,34.54,1974,-122.3105733,47.6555587,Meany Hall,11565.58737,622.2286005,0,0,0,1,0,0,349,180,0.03,0,26.58934294
1080000,33.86,1949,-122.309438,47.65533648,Gerberding Hall,7655.671715,411.8751383,0,0,0,1,0,0,188,80,0.02,14,26.35443174
6411789.447,40.77,1926,-122.3081588,47.65577793,Suzzallo Library,29537.76563,1589.131791,0,0,0,1,0,0,437,170,0.01,0,27.49232167
8187759,42.85,1998,-122.3063212,47.65357023,Electrical Engineering Building,18862.09609,1014.78077,0,0,0,1,0,0,281,115,0.01,0,26.87179568
1990605.337,23.6,1969,-122.3058193,47.65396065,Aerospace and Engineering Research Building,5460.745437,293.7881045,0,0,0,1,0,0,146,24,0.03,0,26.28700353
5328423.964,31.5,1928,-122.3077593,47.65483094,Mary Gates Hall,17041.66181,916.8414054,0,0,0,1,0,0,304,25,0.02,0,27.09552063
2463096.801,20.33,1960,-122.3065207,47.65488291,Sieg Hall,5312.19354,285.7960125,0,0,0,1,0,0,167,116,0.03,22,26.98614399
3400057.419,29.29,1972,-122.3104025,47.65646919,Odegaard Library,15419.38962,829.5631616,0,0,0,1,0,0,267,89,0.02,0,27.13995489
2473862.969,19.84,1971,-122.3091986,47.65659335,Kane Hall,14248.99763,766.5960725,0,0,0,1,0,0,299,63,0.02,0,28.10694382
